,index,UTC timestamp,Annee,Date/Heure,Dir. du vent (10s deg),Dir. du vent Indicateur,Heure,Hmdx,Hmdx Indicateur,Hum,Hum. rel. Indicateur,Jour,Mois,Temp Indicateur,Temps,Vit. du vent Indicateur,eolien,eolien ind,point de rosee,point de rosee ind,pression,pression ind,qualite donnee,temp,vent,visi,visi ind,wday,ferie,averses,neige,pluie,fort,modere,verglas,bruine,poudrerie,brouillard,nuageux,orage,degage,precip,brr,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,LV,MMJ,SD,total
0,0,1533081600,2018,2018-08-01 00:00,15.0,0.0,0,30.0,0.0,72.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"18,3",0.0,101.29,0.0,0,23.6,8.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,923.0
1,552,1533085200,2018,2018-08-01 01:00,13.0,0.0,1,29.0,0.0,72.0,0.0,1,8,0.0,Nuageux,0.0,0.0,0.0,"17,7",0.0,101.24,0.0,0,23.0,13.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,497.0
2,1104,1533088800,2018,2018-08-01 02:00,14.0,0.0,2,28.0,0.0,74.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"17,8",0.0,101.23,0.0,0,22.6,7.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,317.0
3,1656,1533092400,2018,2018-08-01 03:00,14.0,0.0,3,29.0,0.0,75.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"18,1",0.0,101.26,0.0,0,22.7,10.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,297.0
4,2208,1533096000,2018,2018-08-01 04:00,14.0,0.0,4,28.0,0.0,75.0,0.0,1,8,0.0,Nuageux,0.0,0.0,0.0,"17,8",0.0,101.21,0.0,0,22.5,9.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,149.0
5,2760,1533099600,2018,2018-08-01 05:00,14.0,0.0,5,28.0,0.0,74.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"17,8",0.0,101.22,0.0,0,22.5,12.0,48.3,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,283.0
6,3312,1533103200,2018,2018-08-01 06:00,14.0,0.0,6,29.0,0.0,72.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"17,8",0.0,101.21,0.0,0,22.9,14.0,48.3,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,915.0
7,3864,1533106800,2018,2018-08-01 07:00,15.0,0.0,7,29.0,0.0,74.0,0.0,1,8,0.0,Nuageux,0.0,0.0,0.0,"18,1",0.0,101.2,0.0,0,23.0,17.0,48.3,0.0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2877.0
8,4416,1533110400,2018,2018-08-01 08:00,16.0,0.0,8,31.0,0.0,73.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"18,9",0.0,101.18,0.0,0,23.9,13.0,48.3,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6350.0
9,4968,1533114000,2018,2018-08-01 09:00,14.0,0.0,9,31.0,0.0,73.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"18,8",0.0,101.12,0.0,0,23.9,17.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3843.0
10,5520,1533117600,2018,2018-08-01 10:00,15.0,0.0,10,31.0,0.0,74.0,0.0,1,8,0.0,Nuageux,0.0,0.0,0.0,"19,4",0.0,101.11,0.0,0,24.2,17.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2103.0
11,6072,1533121200,2018,2018-08-01 11:00,16.0,0.0,11,32.0,0.0,71.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"19,7",0.0,101.04,0.0,0,25.1,16.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2242.0
12,6624,1533124800,2018,2018-08-01 12:00,14.0,0.0,12,34.0,0.0,68.0,0.0,1,8,0.0,0,0.0,0.0,0.0,"20,2",0.0,101.0,0.0,0,26.6,18.0,24.1,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2758.0
