dayOfWeek1.period1Max,dayOfWeek1.period1Min,dayOfWeek1.period1Target,dayOfWeek1.period2Max,dayOfWeek1.period2Min,dayOfWeek1.period2Target,dayOfWeek1.period3Max,dayOfWeek1.period3Min,dayOfWeek1.period3Target,dayOfWeek1.period4Max,dayOfWeek1.period4Min,dayOfWeek1.period4Target,dayOfWeek1.period5max,dayOfWeek1.period5min,dayOfWeek1.period5target,dayOfWeek1.sector,dayOfWeek1.sector.id,dayOfWeek2.period1Max,dayOfWeek2.period1Min,dayOfWeek2.period1Target,dayOfWeek2.period2Max,dayOfWeek2.period2Min,dayOfWeek2.period2Target,dayOfWeek2.period3Max,dayOfWeek2.period3Min,dayOfWeek2.period3Target,dayOfWeek2.period4Max,dayOfWeek2.period4Min,dayOfWeek2.period4Target,dayOfWeek2.period5max,dayOfWeek2.period5min,dayOfWeek2.period5target,dayOfWeek2.sector,dayOfWeek2.sector.id,dayOfWeek3.period1Max,dayOfWeek3.period1Min,dayOfWeek3.period1Target,dayOfWeek3.period2Max,dayOfWeek3.period2Min,dayOfWeek3.period2Target,dayOfWeek3.period3Max,dayOfWeek3.period3Min,dayOfWeek3.period3Target,dayOfWeek3.period4Max,dayOfWeek3.period4Min,dayOfWeek3.period4Target,dayOfWeek3.period5max,dayOfWeek3.period5min,dayOfWeek3.period5target,dayOfWeek3.sector,dayOfWeek3.sector.id,dayOfWeek4.period1Max,dayOfWeek4.period1Min,dayOfWeek4.period1Target,dayOfWeek4.period2Max,dayOfWeek4.period2Min,dayOfWeek4.period2Target,dayOfWeek4.period3Max,dayOfWeek4.period3Min,dayOfWeek4.period3Target,dayOfWeek4.period4Max,dayOfWeek4.period4Min,dayOfWeek4.period4Target,dayOfWeek4.period5max,dayOfWeek4.period5min,dayOfWeek4.period5target,dayOfWeek4.sector,dayOfWeek4.sector.id,dayOfWeek5.period1Max,dayOfWeek5.period1Min,dayOfWeek5.period1Target,dayOfWeek5.period2Max,dayOfWeek5.period2Min,dayOfWeek5.period2Target,dayOfWeek5.period3Max,dayOfWeek5.period3Min,dayOfWeek5.period3Target,dayOfWeek5.period4Max,dayOfWeek5.period4Min,dayOfWeek5.period4Target,dayOfWeek5.period5max,dayOfWeek5.period5min,dayOfWeek5.period5target,dayOfWeek5.sector,dayOfWeek5.sector.id,dayOfWeek6.period1Max,dayOfWeek6.period1Min,dayOfWeek6.period1Target,dayOfWeek6.period2Max,dayOfWeek6.period2Min,dayOfWeek6.period2Target,dayOfWeek6.period3Max,dayOfWeek6.period3Min,dayOfWeek6.period3Target,dayOfWeek6.period4Max,dayOfWeek6.period4Min,dayOfWeek6.period4Target,dayOfWeek6.period5max,dayOfWeek6.period5min,dayOfWeek6.period5target,dayOfWeek6.sector,dayOfWeek6.sector.id,dayOfWeek7.period1Max,dayOfWeek7.period1Min,dayOfWeek7.period1Target,dayOfWeek7.period2Max,dayOfWeek7.period2Min,dayOfWeek7.period2Target,dayOfWeek7.period3Max,dayOfWeek7.period3Min,dayOfWeek7.period3Target,dayOfWeek7.period4Max,dayOfWeek7.period4Min,dayOfWeek7.period4Target,dayOfWeek7.period5max,dayOfWeek7.period5min,dayOfWeek7.period5target,dayOfWeek7.sector,dayOfWeek7.sector.id,id,info.capacity,info.cluster,info.eightd_has_available_keys,info.eightd_has_key_dispenser,info.index,info.installDate,info.installed,info.is_installed,info.is_renting,info.is_returning,info.last_reported,info.locked,info.num_bikes_available,info.num_bikes_disabled,info.num_docks_available,info.num_docks_disabled,info.priority,info.removalDate,info.rental_methods,info.secteur_lavage,info.secteur_redist,info.status,info.temporary,info.terminalName,label,threshold.maxMet,threshold.maxMetQty,threshold.minMet,threshold.minMetQty
80,20,55,80,20,55,80,10,55,80,20,60,85,20,60,,,110,35,60,110,20,55,85,10,45,90,25,40,90,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,40,,,80,25,40,80,25,40,90,25,55,80,20,55,80,20,55,,,280.0,23,"50,50,50,55",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,0,0,23,0,0,,"KEY,CREDITCARD",SO1,Sud Ouest,ok,,10002,Métro Charlevoix (Centre / Charlevoix),,,2019-06-04T09:16:39-04,4
50,0,20,50,-10,20,50,-10,20,60,10,50,70,0,20,,,15,-10,5,60,10,40,75,10,35,90,30,65,55,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,30,,,40,-10,10,40,-10,10,50,-10,20,40,-10,20,40,-10,10,,,1.0,33,"40,80,35,35",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,30,0,3,0,0,,"KEY,CREDITCARD",C3,Centre Ville,ok,,6001,Métro Champ-de-Mars (Viger / Sanguinet),2019-06-04T09:10:08-04,20,,
50,0,20,50,0,20,50,0,25,60,0,30,60,10,40,,,110,-10,50,110,0,35,35,0,10,40,-10,20,60,-10,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,20,50,0,20,60,0,20,50,0,25,60,0,20,,,2.0,19,"50,5,20,30",false,false,100,,true,false,true,true,1970-01-18T20:14:23-05,false,0,0,19,0,0,,"KEY,CREDITCARD",E1,Hochelaga Ouest,ok,,6002,Ste-Catherine / Dezery,,,2019-06-04T11:50:14-04,0
50,-10,35,50,-10,25,55,-10,30,35,-10,15,40,-10,25,,,20,-10,5,60,-10,50,80,25,40,100,10,50,65,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,80,20,50,80,20,50,80,20,50,80,20,50,80,20,50,,,3.0,19,"25,60,75,20",false,false,,,true,false,true,true,1970-01-18T20:14:22-05,false,19,0,0,0,0,,"KEY,CREDITCARD",C3,Centre Ville,ok,,6003,Clark / Evans,2019-06-04T09:15:08-04,14,,
55,-10,20,55,-10,20,55,-10,30,55,-10,15,40,-10,5,,,15,-10,5,75,0,65,110,55,80,110,40,55,60,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,15,50,,,80,20,50,80,20,50,80,20,50,80,20,55,70,20,40,,,4.0,23,"20,40,30,20",false,false,,,true,false,true,true,1970-01-18T20:14:23-05,false,20,0,3,0,0,,"KEY,CREDITCARD",C3,Vieux Montréal,ok,,6004,du Champ-de-Mars / Gosford,,,,
50,-10,30,55,-10,25,40,-10,20,20,-10,10,20,-10,10,,,15,-10,5,65,-10,50,95,55,80,100,65,80,50,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,30,,,55,0,25,50,0,25,55,0,30,60,0,30,60,0,35,,,5.0,47,"30,70,65,40",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,42,0,5,0,0,,"KEY,CREDITCARD",C1,Centre Ville,ok,,6005,Metcalfe / du Square-Dorchester,,,,
80,10,50,90,10,50,80,10,50,90,30,65,100,45,70,,,110,20,35,110,0,30,75,0,25,85,10,45,100,55,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,35,60,,,100,40,70,100,35,70,100,35,60,100,45,70,100,45,80,,,6.0,31,"50,60,70,75",false,false,,,true,false,true,true,1970-01-18T20:14:15-05,false,0,0,31,0,0,,"KEY,CREDITCARD",E3,Rosemont Est,ok,,6006,18e avenue / Rosemont,,,2019-06-04T09:35:12-04,0
110,-10,50,110,-10,50,110,-10,40,110,-10,40,30,-10,10,,,20,-10,5,60,-10,50,45,-10,20,80,-10,40,30,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,50,,,45,-10,25,45,-10,25,60,-10,30,80,-10,30,60,0,30,,,7.0,27,"20,20,40,10",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,15,0,12,0,0,,"KEY,CREDITCARD",C3,UQAM,ok,,6007,de l'Hôtel-de-Ville / Ste-Catherine,2019-06-04T11:00:14-04,15,,
30,-10,10,30,-10,10,35,-10,15,40,-10,15,20,-10,5,,,20,-10,5,30,-10,10,40,-10,35,55,0,35,50,-10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,20,,,30,-10,10,30,-10,10,40,-10,20,40,-10,15,20,-10,5,,,8.0,27,"20,40,55,30",false,false,,,true,false,true,true,1970-01-18T20:14:24-05,false,20,0,7,0,0,,"KEY,CREDITCARD",C3,UQAM,ok,,6008,Sanguinet / Ste-Catherine,2019-06-04T07:30:06-04,8,,
30,-10,10,30,-10,10,75,-10,60,70,-10,50,75,-10,55,,,20,-10,5,30,-10,10,45,-10,20,50,-10,20,45,-10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,-14,10,,,30,-10,10,30,-10,10,55,-10,30,55,-10,30,60,-10,40,,,9.0,19,"30,35,35,35",false,false,,,false,false,true,true,1970-01-18T20:14:13-05,false,0,0,19,0,0,,"KEY,CREDITCARD",C1,Centre Ouest,à venir,,6009,Crescent / de Maisonneuve,,,,
